id,sentence,foreignDomain,ignore,labelState,frequencyState,is_ardu,pairs_i,pairs_text,pairs_pos,pairs_dep,pairs_lemma
83423,When we put it on a bungee the throttle started a few moments after the launch causeing the prop to hit the line.,False,False,accepting,singel,True,"[{""cause"": [8, 9, 11, 12, 13, 14, 15], ""effect"": [18, 19, 20, 21, 22]}]","[{""cause"": [""throttle"", ""started"", ""few"", ""moments"", ""after"", ""the"", ""launch""], ""effect"": [""prop"", ""to"", ""hit"", ""the"", ""line""]}]","[{""cause"": [""NOUN"", ""VERB"", ""ADJ"", ""NOUN"", ""ADP"", ""DET"", ""NOUN""], ""effect"": [""NOUN"", ""PART"", ""VERB"", ""DET"", ""NOUN""]}]","[{""cause"": [""nsubj"", ""ROOT"", ""nummod"", ""dobj"", ""prep"", ""det"", ""nsubj""], ""effect"": [""dobj"", ""aux"", ""advcl"", ""det"", ""dobj""]}]","[{""cause"": [""throttle"", ""start"", ""few"", ""moment"", ""after"", ""the"", ""launch""], ""effect"": [""prop"", ""to"", ""hit"", ""the"", ""line""]}]"
15082,"The esc can generate noise, or the motors, or esc wires, connecters arcing.",False,False,accepting,multiple,True,"[{""cause"": [1], ""effect"": [4]}, {""cause"": [8], ""effect"": [4]}, {""cause"": [11, 12], ""effect"": [4]}, {""cause"": [14, 15], ""effect"": [4]}]","[{""cause"": [""esc""], ""effect"": [""noise""]}, {""cause"": [""motors""], ""effect"": [""noise""]}, {""cause"": [""esc"", ""wires""], ""effect"": [""noise""]}, {""cause"": [""connecters"", ""arcing""], ""effect"": [""noise""]}]","[{""cause"": [""NOUN""], ""effect"": [""NOUN""]}, {""cause"": [""NOUN""], ""effect"": [""NOUN""]}, {""cause"": [""NOUN"", ""NOUN""], ""effect"": [""NOUN""]}, {""cause"": [""NOUN"", ""VERB""], ""effect"": [""NOUN""]}]","[{""cause"": [""nsubj""], ""effect"": [""dobj""]}, {""cause"": [""conj""], ""effect"": [""dobj""]}, {""cause"": [""compound"", ""conj""], ""effect"": [""dobj""]}, {""cause"": [""nsubj"", ""ROOT""], ""effect"": [""dobj""]}]","[{""cause"": [""esc""], ""effect"": [""noise""]}, {""cause"": [""motor""], ""effect"": [""noise""]}, {""cause"": [""esc"", ""wire""], ""effect"": [""noise""]}, {""cause"": [""connecter"", ""arc""], ""effect"": [""noise""]}]"
234576,"My gut feeling is that your issue was caused by multi-path gps signals in mountainous terrain, where the gps time does not agree because the receiver gets a signal that takes longer to reach the receiver than what the calculations say it should - and that is the basis of calculating gps speed.",False,False,accepting,singel,True,"[{""cause"": [13, 14, 15, 16, 17], ""effect"": [6]}]","[{""cause"": [""gps"", ""signals"", ""in"", ""mountainous"", ""terrain""], ""effect"": [""issue""]}]","[{""cause"": [""PROPN"", ""NOUN"", ""ADP"", ""ADJ"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""compound"", ""pobj"", ""prep"", ""amod"", ""pobj""], ""effect"": [""nsubjpass""]}]","[{""cause"": [""gps"", ""signal"", ""in"", ""mountainous"", ""terrain""], ""effect"": [""issue""]}]"
150010,"Also, i thought that in stabilize mode, vibrations would not cause the related behavior that frontier reported, of putting it into stabilize mode and bringing the throttle down the way i saved my old quad from going to the clouds.",False,False,accepting,multiple,True,"[{""cause"": [21, 23, 24, 25], ""effect"": [34, 36, 37]}, {""cause"": [27, 28, 29, 30], ""effect"": [34, 36, 37]}]","[{""cause"": [""putting"", ""into"", ""stabilize"", ""mode""], ""effect"": [""saved"", ""old"", ""quad""]}, {""cause"": [""bringing"", ""the"", ""throttle"", ""down""], ""effect"": [""saved"", ""old"", ""quad""]}]","[{""cause"": [""VERB"", ""ADP"", ""ADJ"", ""NOUN""], ""effect"": [""VERB"", ""ADJ"", ""NOUN""]}, {""cause"": [""VERB"", ""DET"", ""NOUN"", ""ADP""], ""effect"": [""VERB"", ""ADJ"", ""NOUN""]}]","[{""cause"": [""pcomp"", ""prep"", ""amod"", ""pobj""], ""effect"": [""relcl"", ""amod"", ""dobj""]}, {""cause"": [""conj"", ""det"", ""dobj"", ""prep""], ""effect"": [""relcl"", ""amod"", ""dobj""]}]","[{""cause"": [""put"", ""into"", ""stabilize"", ""mode""], ""effect"": [""save"", ""old"", ""quad""]}, {""cause"": [""bring"", ""the"", ""throttle"", ""down""], ""effect"": [""save"", ""old"", ""quad""]}]"
256571,After some time on usb the heat leads to a disconnect.,False,False,accepting,singel,True,"[{""cause"": [1, 2, 3, 4, 5, 6], ""effect"": [10]}]","[{""cause"": [""some"", ""time"", ""on"", ""usb"", ""the"", ""heat""], ""effect"": [""disconnect""]}]","[{""cause"": [""DET"", ""NOUN"", ""ADP"", ""PRON"", ""DET"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""det"", ""pobj"", ""prep"", ""pobj"", ""det"", ""nsubj""], ""effect"": [""pobj""]}]","[{""cause"": [""some"", ""time"", ""on"", ""usb"", ""the"", ""heat""], ""effect"": [""disconnect""]}]"
124045,"If i got this right, this is very disappointing, guided caused the exact crash it was supposed to avoid.",False,False,accepting,none,True,[],[],[],[],[]
307836,"The mtow is 17 - 18 kg, but the quad motors can produce 24 kg of thrust total individually measured. so i see a couple of possibilities.",False,False,accepting,none,True,[],[],[],[],[]
488263,I think cw propellers of air gear 350 pack generates less thrust.,False,False,accepting,singel,True,"[{""cause"": [2, 3, 4, 5, 6, 7, 8], ""effect"": [10, 11]}]","[{""cause"": [""cw"", ""propellers"", ""of"", ""air"", ""gear"", ""350"", ""pack""], ""effect"": [""less"", ""thrust""]}]","[{""cause"": [""PROPN"", ""NOUN"", ""ADP"", ""NOUN"", ""NOUN"", ""NUM"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN""]}]","[{""cause"": [""compound"", ""nsubj"", ""prep"", ""compound"", ""pobj"", ""nummod"", ""appos""], ""effect"": [""amod"", ""dobj""]}]","[{""cause"": [""cw"", ""propeller"", ""of"", ""air"", ""gear"", ""350"", ""pack""], ""effect"": [""less"", ""thrust""]}]"
793651,So just a small amount of roll will lead to max yaw rate unless the user re-tunes the gain.,False,False,accepting,singel,True,"[{""cause"": [3, 4, 5, 6], ""effect"": [10, 11, 12]}]","[{""cause"": [""small"", ""amount"", ""of"", ""roll""], ""effect"": [""max"", ""yaw"", ""rate""]}]","[{""cause"": [""ADJ"", ""NOUN"", ""ADP"", ""NOUN""], ""effect"": [""PROPN"", ""PROPN"", ""NOUN""]}]","[{""cause"": [""amod"", ""nsubj"", ""prep"", ""pobj""], ""effect"": [""compound"", ""compound"", ""pobj""]}]","[{""cause"": [""small"", ""amount"", ""of"", ""roll""], ""effect"": [""max"", ""yaw"", ""rate""]}]"
271848,I think this problem is caused by the abnormal temperature of the imu sensor.,False,False,accepting,singel,True,"[{""cause"": [8, 9, 10, 11, 12, 13], ""effect"": [3]}]","[{""cause"": [""abnormal"", ""temperature"", ""of"", ""the"", ""imu"", ""sensor""], ""effect"": [""problem""]}]","[{""cause"": [""ADJ"", ""NOUN"", ""ADP"", ""DET"", ""ADJ"", ""NOUN""], ""effect"": [""NOUN""]}]","[{""cause"": [""amod"", ""pobj"", ""prep"", ""det"", ""amod"", ""pobj""], ""effect"": [""nsubjpass""]}]","[{""cause"": [""abnormal"", ""temperature"", ""of"", ""the"", ""imu"", ""sensor""], ""effect"": [""problem""]}]"
53583,I suspect the fmt 200 and 201 relate to the gps but that the mp analyser doesnt recognise them?,False,False,accepting,none,True,[],[],[],[],[]
434656,"Results show the pusher con- figuration generates approximately 15% more thrust lift than do tractor propellers, however exhibit relatively poor lift to drag ratio. these results suggests that a pusher configuration will have higher efficiency for local-area surveillance applications requiring hover and slow flight, whereas a tractor configuration is more efficient for payload transport applications.",False,False,accepting,multiple,True,"[{""cause"": [3, 4, 5], ""effect"": [6, 7, 8, 9, 10, 11, 12]}, {""cause"": [3, 4, 5], ""effect"": [21, 22, 23, 24, 25]}, {""cause"": [32, 33], ""effect"": [36, 37, 38, 39]}]","[{""cause"": [""pusher"", ""con-"", ""figuration""], ""effect"": [""generates"", ""approximately"", ""15"", ""%"", ""more"", ""thrust"", ""lift""]}, {""cause"": [""pusher"", ""con-"", ""figuration""], ""effect"": [""poor"", ""lift"", ""to"", ""drag"", ""ratio""]}, {""cause"": [""pusher"", ""configuration""], ""effect"": [""higher"", ""efficiency"", ""for"", ""local""]}]","[{""cause"": [""NOUN"", ""NOUN"", ""NOUN""], ""effect"": [""VERB"", ""ADV"", ""NUM"", ""NOUN"", ""ADJ"", ""NOUN"", ""NOUN""]}, {""cause"": [""NOUN"", ""NOUN"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""PART"", ""VERB"", ""NOUN""]}, {""cause"": [""NOUN"", ""NOUN""], ""effect"": [""ADJ"", ""NOUN"", ""ADP"", ""ADJ""]}]","[{""cause"": [""compound"", ""compound"", ""nsubj""], ""effect"": [""ccomp"", ""advmod"", ""nummod"", ""npadvmod"", ""amod"", ""compound"", ""dobj""]}, {""cause"": [""compound"", ""compound"", ""nsubj""], ""effect"": [""amod"", ""dobj"", ""aux"", ""acl"", ""dobj""]}, {""cause"": [""compound"", ""nsubj""], ""effect"": [""amod"", ""dobj"", ""prep"", ""amod""]}]","[{""cause"": [""pusher"", ""con-"", ""figuration""], ""effect"": [""generate"", ""approximately"", ""15"", ""%"", ""more"", ""thrust"", ""lift""]}, {""cause"": [""pusher"", ""con-"", ""figuration""], ""effect"": [""poor"", ""lift"", ""to"", ""drag"", ""ratio""]}, {""cause"": [""pusher"", ""configuration""], ""effect"": [""high"", ""efficiency"", ""for"", ""local""]}]"
411370,"I think this problem has been caused by vibration, what do you think, chris?",False,False,accepting,none,True,[],[],[],[],[]
192398,Could wind gusts be causing these latest ekf messages?,False,False,accepting,none,True,[],[],[],[],[]
